id,model_id,name,year_from,year_to,restyling
1,1,I,2018,,0
2,2,I,2015,,0
3,3,I,1977,,0
4,4,I,2020,,0
5,5,I,2012,,0
6,6,I,2025,,0
7,7,I,2015,,0
8,8,I,2007,,0
9,9,I,2004,,0
10,10,I,2024,,0
11,11,I,2014,,0
12,12,I,2003,,0
13,13,I,2017,,0
14,14,I,1965,,0
15,15,I,2008,,0
16,16,I,2013,,0
17,17,I,2021,,0
18,18,I,2008,,0
19,19,I,2022,,0
20,20,I,2023,,0
21,21,I,2023,,0
22,22,I,2023,,0
23,23,I,2018,,0
24,24,I,2023,,0
25,25,I,2023,,0
26,26,I,2023,,0
27,27,I,2024,,0
28,28,I,2024,,0
29,29,I,2014,,0
30,30,I,2014,,0
31,31,I,2014,,0
32,32,I,2021,,0
33,33,I,2016,,0
34,34,I,2019,,0
35,35,I,2016,,0
36,36,I,2009,,0
37,37,I,2019,,0
38,38,I,2021,,0
39,39,I,2014,,0
40,40,I,2018,,0
41,41,I,2019,,0
42,42,I,2016,,0
43,43,I,2017,,0
44,44,I,2017,,0
45,45,I,2016,,0
46,46,I,2020,,0
47,47,I,2017,,0
48,48,I,2012,,0
49,49,I,2018,,0
50,50,I,2020,,0
51,51,I,2020,,0
52,52,I,2024,,0
53,53,I,2017,,0
54,54,I,2024,,0
55,55,I,2019,,0
56,56,I,2009,,0
57,57,I,2021,,0
58,58,I,2020,,0
59,59,I,2019,,0
60,60,I,2018,,0
61,61,I,2019,,0
62,62,I,2024,,0
63,63,I,2018,,0
64,64,I,2017,,0
65,65,I,2021,,0
66,66,I,2017,,0
67,67,I,2021,,0
68,68,I,2017,,0
69,69,I,2020,,0
70,70,I,2010,,0
71,71,I,2011,,0
72,72,I,2020,,0
73,73,I,2017,,0
74,74,I,2016,,0
75,75,I,2020,,0
76,76,I,2020,,0
77,77,I,2024,,0
78,78,I,2005,,0
79,79,I,2007,,0
80,80,I,2015,,0
81,81,I,2011,,0
82,82,I,2018,,0
83,83,I,2014,,0
84,84,I,2017,,0
85,85,I,2019,,0
86,86,I,2017,,0
87,87,I,2019,,0
88,88,I,2014,,0
89,89,I,2014,,0
90,90,I,2015,,0
91,91,I,2011,,0
92,92,I,2002,,0
93,93,I,2002,,0
94,94,I,2006,,0
95,95,I,2020,,0
96,96,I,2015,,0
97,97,I,2010,,0
98,98,I,2008,,0
99,99,I,2018,,0
100,100,I,2010,,0
101,101,I,2011,,0
102,102,I,2016,,0
103,103,I,2017,,0
104,104,I,2013,,0
105,105,I,2021,,0
106,106,I,2016,,0
107,107,I,2014,,0
108,108,I,2024,,0
109,109,I,2024,,0
110,110,I,2014,,0
111,111,I,2014,,0
112,112,I,2014,,0
113,113,I,2018,,0
114,114,I,2017,,0
115,115,I,2018,,0
116,116,I,2021,,0
117,117,I,2024,,0
118,118,I,2019,,0
119,119,I,2015,,0
120,120,I,2015,,0
121,121,I,2023,,0
122,122,I,2020,,0
123,123,I,2012,,0
124,124,I,2008,,0
125,125,I,2019,,0
126,126,I,2021,,0
127,127,I,2022,,0
128,128,I,2022,,0
129,129,I,2021,,0
130,130,I,2022,,0
131,131,I,2020,,0
132,132,I,2017,,0
133,133,I,2019,,0
134,134,I,2012,,0
135,135,I,2017,,0
136,136,I,2019,,0
137,137,I,2016,,0
138,138,I,2015,,0
139,139,I,2018,,0
140,140,I,2019,,0
141,141,I,2016,,0
142,142,I,2017,,0
143,143,I,2019,,0
144,144,I,2021,,0
145,145,I,2012,,0
146,146,I,2021,,0
147,147,I,2021,,0
148,148,I,2014,,0
149,149,I,2010,,0
150,150,I,2021,,0
151,151,I,2014,,0
152,152,I,2012,,0
153,153,I,2011,,0
154,154,I,2019,,0
155,155,I,2007,,0
156,156,I,2017,,0
157,157,I,2007,,0
158,158,I,2021,,0
159,159,I,2010,,0
160,160,I,2006,,0
161,161,I,2015,,0
162,162,I,2015,,0
163,163,I,2017,,0
164,164,I,2014,,0
165,165,I,2013,,0
166,166,I,2018,,0
167,167,I,2017,,0
168,168,I,2005,,0
169,169,I,2006,,0
170,170,I,2019,,0
171,171,I,2020,,0
172,172,I,2014,,0
173,173,I,2014,,0
174,174,I,2017,,0
175,175,I,2017,,0
176,176,I,2020,,0
177,177,I,2019,,0
178,178,I,2020,,0
179,179,I,2020,,0
180,180,I,2023,,0
181,181,I,2018,,0
182,182,I,2009,,0
183,183,I,2017,,0
184,184,I,2018,,0
185,185,I,2021,,0
186,186,I,2017,,0
187,187,I,2018,,0
188,188,I,2020,,0
189,189,I,2021,,0
190,190,I,2020,,0
191,191,I,2019,,0
192,192,I,2017,,0
193,193,I,2008,,0
194,194,I,2017,,0
195,195,I,2018,,0
196,196,I,2021,,0
197,197,I,2019,,0
198,198,I,2020,,0
199,199,I,2010,,0
200,200,I,2005,,0
201,201,I,2017,,0
202,202,I,1995,,0
203,203,I,1998,,0
204,204,I,1997,,0
205,205,I,2018,,0
206,206,I,2016,,0
207,207,I,2020,,0
