id,make_id,name,name_normalized,segment,body_type
1,1,Granta,granta,B,sedan
2,1,Vesta,vesta,B,sedan
3,1,Niva Legend,nivalegend,J_SUV,suv
4,1,Niva Travel,nivatravel,J_CROSS,crossover
5,1,Largus,largus,M_MPV,mpv
6,1,Iskra,iskra,B,sedan
7,1,X-Ray,xray,J_CROSS,crossover
8,1,Priora,priora,C,sedan
9,1,Kalina,kalina,B,hatchback
10,1,Aura,aura,B,sedan
11,2,Patriot,patriot,J_SUV,suv
12,2,Hunter,hunter,J_SUV,suv
13,2,Profi,profi,LCV,pickup
14,2,3909,3909,J_SUV,mpv
15,2,Pickup,pickup,LCV,pickup
16,3,GAZelle Next,gazellenext,LCV,mpv
17,3,GAZelle NN,gazellenn,LCV,mpv
18,3,Sobol,sobol,LCV,mpv
19,4,3,3,J_CROSS,crossover
20,4,5,5,J_CROSS,crossover
21,4,6,6,D,sedan
22,4,8,8,J_CROSS,crossover
23,5,Senat,senat,F,sedan
24,5,Komendant,komendant,J_CROSS,crossover
25,6,Argo,argo,LCV,pickup
26,6,ST6,st6,LCV,mpv
27,7,K30,k30,D,sedan
28,7,S40,s40,D,sedan
29,11,Logan,logan,B,sedan
30,11,Sandero,sandero,B,hatchback
31,11,Sandero Stepway,sanderostepway,J_CROSS,hatchback
32,11,Duster,duster,J_CROSS,crossover
33,11,Kaptur,kaptur,J_CROSS,crossover
34,11,Arkana,arkana,J_CROSS,crossover
35,11,Megane,megane,C,hatchback
36,11,Fluence,fluence,C,sedan
37,11,Clio,clio,B,hatchback
38,12,308,308,C,hatchback
39,12,408,408,D,sedan
40,12,508,508,D,sedan
41,12,2008,2008,J_CROSS,crossover
42,12,3008,3008,J_CROSS,crossover
43,12,4008,4008,J_CROSS,crossover
44,12,5008,5008,J_CROSS,crossover
45,13,C3,c3,B,hatchback
46,13,C4,c4,C,hatchback
47,13,C5 Aircross,c5aircross,J_CROSS,crossover
48,13,C-Elysee,celysee,B,sedan
49,13,Berlingo,berlingo,M_MPV,mpv
50,14,Rapid,rapid,B,sedan
51,14,Octavia,octavia,C,liftback
52,14,Superb,superb,D,liftback
53,14,Karoq,karoq,J_CROSS,crossover
54,14,Kodiaq,kodiaq,J_CROSS,crossover
55,14,Kamiq,kamiq,J_CROSS,crossover
56,14,Yeti,yeti,J_CROSS,crossover
57,14,Fabia,fabia,B,hatchback
