lookup_type,make_name,brand_tier,country,reliability_score,source_note,notes
make,Toyota,,,0.92,"J.D. Power VDS 2023 (121 PP100, top-tier mass), Consumer Reports 4★, Avtostat 9/10",
make,Lexus,,,0.93,"J.D. Power VDS 2023 (best in survey ~100 PP100), CR 4★, Autostat 9/10",
make,Honda,,,0.88,"J.D. Power VDS 2023 (145 PP100), CR 4★, Avtostat 8/10",
make,Hyundai,,,0.85,"J.D. Power VDS 2023 (158 PP100), CR 4★, Avtostat 8/10",
make,Kia,,,0.84,"J.D. Power VDS 2023 (165 PP100), CR 3★, Avtostat 8/10",
make,Mazda,,,0.82,"J.D. Power VDS 2023 (175 PP100), CR 4★, Avtostat 8/10",
make,Subaru,,,0.80,"J.D. Power VDS 2023 (175 PP100), CR 3★, Avtostat 8/10",
make,Genesis,,,0.85,"Premium Hyundai sub-brand; CR 4★, JDP VDS 160 PP100",
make,Nissan,,,0.78,"J.D. Power VDS 2023 (195 PP100), CR 3★, Avtostat 7/10",
make,Mitsubishi,,,0.74,"J.D. Power VDS 2023 (215 PP100), CR 3★, Avtostat 7/10",
make,Suzuki,,,0.78,"CR 3★, Avtostat 7/10, less data on JDP after RU exit",
make,Infiniti,,,0.74,"Nissan premium sub-brand; CR 3★, JDP VDS 220 PP100",
make,Acura,,,0.78,"Honda premium sub-brand; CR 4★, JDP VDS 180 PP100",
make,BMW,,,0.74,"J.D. Power VDS 2023 (200 PP100), CR 3★, Avtostat 7/10",
make,Audi,,,0.72,"J.D. Power VDS 2023 (210 PP100), CR 3★, Avtostat 7/10",
make,Mercedes-Benz,,,0.71,"J.D. Power VDS 2023 (225 PP100), CR 2★, Avtostat 7/10",
make,Porsche,,,0.78,"J.D. Power VDS 2023 (175 PP100), CR 4★, premium reliable",
make,Volvo,,,0.70,"J.D. Power VDS 2023 (215 PP100), CR 3★, Avtostat 7/10",
make,Volkswagen,,,0.70,"J.D. Power VDS 2023 (220 PP100), CR 2★, Avtostat 7/10",
make,Skoda,,,0.72,"DEKRA Used Car Report (favorable), Avtostat 7.5/10",
make,Land Rover,,,0.45,"J.D. Power VDS 2023 (worst, 280+ PP100), CR 2★ — known reliability issues",
make,Jaguar,,,0.50,"J.D. Power VDS 2023 (270 PP100), CR 2★",
make,Alfa Romeo,,,0.50,"J.D. Power VDS 2023 (270 PP100), CR 2★",
make,Maserati,,,0.50,"J.D. Power VDS 2023 (~280 PP100), CR 2★",
make,Ferrari,,,0.55,"Limited data; assumed similar to other Italian premium",
make,Lamborghini,,,0.55,"Limited data; VW group platforms suggest avg",
make,Bentley,,,0.55,"VW group platforms; CR 2★",
make,Aston Martin,,,0.50,"Limited data, premium British supercar",
make,Lotus,,,0.50,"Niche British sportscar, limited data",
make,McLaren,,,0.50,"Niche British supercar, limited data",
make,Rolls-Royce,,,0.60,"BMW platforms; better than other UK premium",
make,Ford,,,0.65,"J.D. Power VDS 2023 (250 PP100), CR 2★, Avtostat 6/10",
make,Chevrolet,,,0.62,"J.D. Power VDS 2023 (270 PP100), CR 2★, Avtostat 6/10",
make,Cadillac,,,0.60,"J.D. Power VDS 2023 (250 PP100), CR 3★",
make,Lincoln,,,0.60,"J.D. Power VDS 2023 (260 PP100), CR 2★",
make,Renault,,,0.62,"European data + Avtostat 6/10 (RU-popular brand)",
make,Peugeot,,,0.60,"European data + Avtostat 6/10",
make,Citroen,,,0.60,"European data + Avtostat 5.5/10",
make,Dacia,,,0.65,"Romanian Renault sub-brand; simple platforms = reliable",
make,Fiat,,,0.55,"CR 2★, JDP VDS 280 PP100, AvtoStat 5/10",
make,Opel,,,0.62,"Avtostat 6/10, similar to Chevrolet platforms",
make,Lada,,,0.55,"Avtostat 5-6/10 (Russian-specific reliability + parts availability)",
make,UAZ,,,0.55,"Avtostat 5/10 (rugged but quirky)",
make,GAZ,,,0.50,"Avtostat 4-5/10 (commercial focus)",
make,Aurus,,,0.50,"New brand 2018+, no long-term reliability data",
make,Moskvich,,,0.55,"Re-launched 2022 (rebadged JAC); inherits Chinese platform reliability",
make,Geely,,,0.65,"Avtostat 6.5/10 (dominant Chinese brand on RU market 2022+)",
make,Haval,,,0.62,"Avtostat 6/10",
make,Chery,,,0.58,"Avtostat 5.5/10",
make,Changan,,,0.58,"Avtostat 5.5/10",
make,BYD,,,0.68,"EV-specialist; Avtostat 7/10, fewer mechanical parts",
make,Great Wall,,,0.60,"Avtostat 5.5/10",
make,Lifan,,,0.50,"Avtostat 4-5/10 (entry-level Chinese)",
make,FAW,,,0.55,"Avtostat 5/10",
make,JAC,,,0.55,"Avtostat 5/10",
make,Chrysler,,,0.55,"CR 2★, JDP VDS 280 PP100",
make,Dodge,,,0.55,"CR 2★, JDP VDS 270 PP100",
make,Jeep,,,0.55,"CR 2★, JDP VDS 280 PP100",
make,Mini,,,0.65,"BMW platforms; CR 3★",
make,Smart,,,0.60,"Mercedes platforms but quirky",
make,Tesla,,,0.65,"EV-specific; CR 3★, build quality issues offset by EV simplicity",
fallback,,japanese_korean_mass,Japan,0.85,"Group default for Japanese mass-market not in per-make list",
fallback,,japanese_korean_mass,South Korea,0.82,"Group default for Korean mass-market not in per-make list",
fallback,,mass,Germany,0.70,"Group default for German mass-market (e.g. less common VW variants)",
fallback,,mass,Czech Republic,0.72,"Group default for Czech mass-market",
fallback,,mass,France,0.62,"Group default for French mass-market",
fallback,,mass,USA,0.62,"Group default for American mass-market",
fallback,,mass,Italy,0.58,"Group default for Italian mass-market",
fallback,,mass,Spain,0.62,"Group default for Spanish mass-market",
fallback,,mass,United Kingdom,0.62,"Group default for UK mass-market",
fallback,,mass,Romania,0.65,"Group default for Romanian (Dacia-like)",
fallback,,mass,Russia,0.55,"Group default for Russian mass-market",
fallback,,premium,Germany,0.72,"Group default for German premium",
fallback,,premium,United Kingdom,0.55,"Group default for UK premium (driven down by Land Rover/Jaguar)",
fallback,,premium,Italy,0.55,"Group default for Italian premium (Alfa, Maserati, Ferrari, Lamborghini)",
fallback,,premium,Japan,0.85,"Group default for Japanese premium (Lexus-like)",
fallback,,premium,USA,0.62,"Group default for American premium",
fallback,,premium,Sweden,0.70,"Group default for Swedish premium (Volvo-like)",
fallback,,premium,South Korea,0.82,"Group default for Korean premium (Genesis-like)",
fallback,,premium,France,0.55,"Group default for French premium (Peugeot/DS premium tier)",
fallback,,chinese,China,0.62,"Group default for Chinese mass-market not in per-make list",
fallback,,chinese,United Kingdom,0.65,"Group default for Chinese-owned UK brand (MG)",
fallback,,russian,Russia,0.55,"Group default for Russian brands not in per-make list",
