region_id,region_name,fgrid_value_id,okato_code,fedstat_name_fgrid,fedstat_name_codelist
1,Москва,1688506,45000000000,Город Москва столица Российской Федерации город федерального значения,Город Москва столица Российской Федерации город федерального значения
2,Московская область,1688498,46000000000,Московская область,Московская область
3,Белгородская область,1688489,14000000000,Белгородская область,Белгородская область
4,Брянская область,1688490,15000000000,Брянская область,Брянская область
5,Владимирская область,1688491,17000000000,Владимирская область,Владимирская область
6,Воронежская область,1688492,20000000000,Воронежская область,Воронежская область
7,Ивановская область,1688493,24000000000,Ивановская область,Ивановская область
8,Калужская область,1688494,29000000000,Калужская область,Калужская область
9,Костромская область,1688495,34000000000,Костромская область,Костромская область
10,Курская область,1688496,38000000000,Курская область,Курская область
11,Липецкая область,1688497,42000000000,Липецкая область,Липецкая область
12,Орловская область,1688499,54000000000,Орловская область,Орловская область
13,Рязанская область,1688500,61000000000,Рязанская область,Рязанская область
14,Смоленская область,1688501,66000000000,Смоленская область,Смоленская область
15,Тамбовская область,1688502,68000000000,Тамбовская область,Тамбовская область
16,Тверская область,1688503,28000000000,Тверская область,Тверская область
17,Тульская область,1688504,70000000000,Тульская область,Тульская область
18,Ярославская область,1688505,78000000000,Ярославская область,Ярославская область
19,Санкт-Петербург,1688519,40000000000,Город Санкт-Петербург город федерального значения,Город Санкт-Петербург город федерального значения
20,Ленинградская область,1688515,41000000000,Ленинградская область,Ленинградская область
21,Архангельская область,1688510,11000000000,Архангельская область,Архангельская область
22,Вологодская область,1688513,19000000000,Вологодская область,Вологодская область
23,Калининградская область,1688514,27000000000,Калининградская область,Калининградская область
24,Республика Карелия,1688508,86000000000,Республика Карелия,Республика Карелия
25,Республика Коми,1688509,87000000000,Республика Коми,Республика Коми
26,Мурманская область,1688516,47000000000,Мурманская область,Мурманская область
27,Ненецкий АО,1688511,11100000000,Ненецкий автономный округ (Архангельская область),Ненецкий автономный округ (Архангельская область)
28,Новгородская область,1688517,49000000000,Новгородская область,Новгородская область
29,Псковская область,1688518,58000000000,Псковская область,Псковская область
30,Республика Адыгея,1688522,79000000000,Республика Адыгея (Адыгея),Республика Адыгея (Адыгея)
31,Республика Калмыкия,1688523,85000000000,Республика Калмыкия,Республика Калмыкия
32,Республика Крым,1692938,35000000000,Республика Крым,Республика Крым
33,Краснодарский край,1688524,03000000000,Краснодарский край,Краснодарский край
34,Астраханская область,1688525,12000000000,Астраханская область,Астраханская область
35,Волгоградская область,1688526,18000000000,Волгоградская область,Волгоградская область
36,Ростовская область,1688527,60000000000,Ростовская область,Ростовская область
37,Севастополь,1695534,67000000000,Город федерального значения Севастополь,Город федерального значения Севастополь
38,Республика Дагестан,1688529,82000000000,Республика Дагестан,Республика Дагестан
39,Республика Ингушетия,1688530,26000000000,Республика Ингушетия,Республика Ингушетия
