brand_tier,segment,age_year_bucket,kasko_rate_pct
russian,A_B,1,4.0
russian,A_B,2,4.5
russian,A_B,3,5.0
russian,A_B,4,5.5
russian,A_B,5,6.0
russian,C_D,1,4.5
russian,C_D,2,5.0
russian,C_D,3,5.5
russian,C_D,4,6.0
russian,C_D,5,6.5
russian,E_F,1,5.5
russian,E_F,2,6.0
russian,E_F,3,6.5
russian,E_F,4,7.0
russian,E_F,5,7.5
russian,J_CROSS,1,4.5
russian,J_CROSS,2,5.0
russian,J_CROSS,3,5.5
russian,J_CROSS,4,6.0
russian,J_CROSS,5,6.5
russian,J_SUV,1,4.5
russian,J_SUV,2,5.0
russian,J_SUV,3,5.5
russian,J_SUV,4,6.0
russian,J_SUV,5,6.5
russian,LCV,1,3.5
russian,LCV,2,4.0
russian,LCV,3,4.5
russian,LCV,4,5.0
russian,LCV,5,5.5
japanese_korean_mass,A_B,1,4.5
japanese_korean_mass,A_B,2,5.0
japanese_korean_mass,A_B,3,5.5
japanese_korean_mass,A_B,4,6.0
japanese_korean_mass,A_B,5,6.5
japanese_korean_mass,C_D,1,5.0
japanese_korean_mass,C_D,2,5.5
japanese_korean_mass,C_D,3,6.0
japanese_korean_mass,C_D,4,6.5
japanese_korean_mass,C_D,5,7.0
japanese_korean_mass,E_F,1,6.0
japanese_korean_mass,E_F,2,6.5
japanese_korean_mass,E_F,3,7.0
japanese_korean_mass,E_F,4,7.5
japanese_korean_mass,E_F,5,8.0
japanese_korean_mass,J_CROSS,1,5.0
japanese_korean_mass,J_CROSS,2,5.5
japanese_korean_mass,J_CROSS,3,6.0
japanese_korean_mass,J_CROSS,4,6.5
japanese_korean_mass,J_CROSS,5,7.0
japanese_korean_mass,J_SUV,1,5.0
japanese_korean_mass,J_SUV,2,5.5
japanese_korean_mass,J_SUV,3,6.0
japanese_korean_mass,J_SUV,4,6.5
japanese_korean_mass,J_SUV,5,7.0
japanese_korean_mass,LCV,1,4.0
japanese_korean_mass,LCV,2,4.5
japanese_korean_mass,LCV,3,5.0
japanese_korean_mass,LCV,4,5.5
japanese_korean_mass,LCV,5,6.0
mass,A_B,1,5.0
mass,A_B,2,5.5
mass,A_B,3,6.0
mass,A_B,4,6.5
mass,A_B,5,7.0
mass,C_D,1,5.5
mass,C_D,2,6.0
mass,C_D,3,6.5
mass,C_D,4,7.0
mass,C_D,5,7.5
mass,E_F,1,6.5
mass,E_F,2,7.0
mass,E_F,3,7.5
mass,E_F,4,8.0
mass,E_F,5,8.5
mass,J_CROSS,1,5.5
mass,J_CROSS,2,6.0
mass,J_CROSS,3,6.5
mass,J_CROSS,4,7.0
mass,J_CROSS,5,7.5
mass,J_SUV,1,5.5
mass,J_SUV,2,6.0
mass,J_SUV,3,6.5
mass,J_SUV,4,7.0
mass,J_SUV,5,7.5
mass,LCV,1,4.5
mass,LCV,2,5.0
mass,LCV,3,5.5
mass,LCV,4,6.0
mass,LCV,5,6.5
chinese,A_B,1,6.0
chinese,A_B,2,6.5
chinese,A_B,3,7.0
chinese,A_B,4,7.5
chinese,A_B,5,8.0
chinese,C_D,1,6.5
chinese,C_D,2,7.0
chinese,C_D,3,7.5
chinese,C_D,4,8.0
chinese,C_D,5,8.5
chinese,E_F,1,7.5
chinese,E_F,2,8.0
chinese,E_F,3,8.5
chinese,E_F,4,9.0
chinese,E_F,5,9.5
chinese,J_CROSS,1,6.5
chinese,J_CROSS,2,7.0
chinese,J_CROSS,3,7.5
chinese,J_CROSS,4,8.0
chinese,J_CROSS,5,8.5
chinese,J_SUV,1,6.5
chinese,J_SUV,2,7.0
chinese,J_SUV,3,7.5
chinese,J_SUV,4,8.0
chinese,J_SUV,5,8.5
chinese,LCV,1,5.5
chinese,LCV,2,6.0
chinese,LCV,3,6.5
chinese,LCV,4,7.0
chinese,LCV,5,7.5
premium,A_B,1,7.0
premium,A_B,2,7.5
premium,A_B,3,8.0
premium,A_B,4,8.5
premium,A_B,5,9.0
premium,C_D,1,7.5
premium,C_D,2,8.0
premium,C_D,3,8.5
premium,C_D,4,9.0
premium,C_D,5,9.5
premium,E_F,1,8.5
premium,E_F,2,9.0
premium,E_F,3,9.5
premium,E_F,4,10.0
premium,E_F,5,10.5
premium,J_CROSS,1,7.5
premium,J_CROSS,2,8.0
premium,J_CROSS,3,8.5
premium,J_CROSS,4,9.0
premium,J_CROSS,5,9.5
premium,J_SUV,1,7.5
premium,J_SUV,2,8.0
premium,J_SUV,3,8.5
premium,J_SUV,4,9.0
premium,J_SUV,5,9.5
premium,LCV,1,6.5
premium,LCV,2,7.0
premium,LCV,3,7.5
premium,LCV,4,8.0
premium,LCV,5,8.5
