region_id,region_name,sto_type,rate_rub_per_hour
1,Москва,private,1100
1,Москва,independent,2100
1,Москва,dealer,4900
2,Московская область,private,900
2,Московская область,independent,1700
2,Московская область,dealer,4000
3,Белгородская область,private,850
3,Белгородская область,independent,1600
3,Белгородская область,dealer,3700
4,Брянская область,private,850
4,Брянская область,independent,1600
4,Брянская область,dealer,3700
5,Владимирская область,private,850
5,Владимирская область,independent,1600
5,Владимирская область,dealer,3700
6,Воронежская область,private,900
6,Воронежская область,independent,1650
6,Воронежская область,dealer,3850
7,Ивановская область,private,850
7,Ивановская область,independent,1600
7,Ивановская область,dealer,3700
8,Калужская область,private,850
8,Калужская область,independent,1600
8,Калужская область,dealer,3700
9,Костромская область,private,850
9,Костромская область,independent,1600
9,Костромская область,dealer,3700
10,Курская область,private,850
10,Курская область,independent,1600
10,Курская область,dealer,3700
11,Липецкая область,private,850
11,Липецкая область,independent,1600
11,Липецкая область,dealer,3700
12,Орловская область,private,850
12,Орловская область,independent,1600
12,Орловская область,dealer,3700
13,Рязанская область,private,850
13,Рязанская область,independent,1600
13,Рязанская область,dealer,3700
14,Смоленская область,private,850
14,Смоленская область,independent,1600
14,Смоленская область,dealer,3700
15,Тамбовская область,private,850
15,Тамбовская область,independent,1600
15,Тамбовская область,dealer,3700
16,Тверская область,private,850
16,Тверская область,independent,1600
16,Тверская область,dealer,3700
17,Тульская область,private,850
17,Тульская область,independent,1600
17,Тульская область,dealer,3700
18,Ярославская область,private,850
18,Ярославская область,independent,1600
18,Ярославская область,dealer,3700
19,Санкт-Петербург,private,1050
19,Санкт-Петербург,independent,1950
19,Санкт-Петербург,dealer,4550
20,Ленинградская область,private,900
20,Ленинградская область,independent,1650
20,Ленинградская область,dealer,3850
21,Архангельская область,private,850
21,Архангельская область,independent,1600
21,Архангельская область,dealer,3700
22,Вологодская область,private,850
22,Вологодская область,independent,1600
22,Вологодская область,dealer,3700
23,Калининградская область,private,850
23,Калининградская область,independent,1600
23,Калининградская область,dealer,3700
24,Республика Карелия,private,850
24,Республика Карелия,independent,1600
24,Республика Карелия,dealer,3700
25,Республика Коми,private,850
25,Республика Коми,independent,1600
25,Республика Коми,dealer,3700
26,Мурманская область,private,850
26,Мурманская область,independent,1600
26,Мурманская область,dealer,3700
27,Ненецкий АО,private,850
27,Ненецкий АО,independent,1600
27,Ненецкий АО,dealer,3700
28,Новгородская область,private,850
28,Новгородская область,independent,1600
28,Новгородская область,dealer,3700
29,Псковская область,private,850
29,Псковская область,independent,1600
29,Псковская область,dealer,3700
30,Республика Адыгея,private,700
30,Республика Адыгея,independent,1350
30,Республика Адыгея,dealer,3150
31,Республика Калмыкия,private,700
31,Республика Калмыкия,independent,1350
31,Республика Калмыкия,dealer,3150
32,Республика Крым,private,750
32,Республика Крым,independent,1400
32,Республика Крым,dealer,3300
33,Краснодарский край,private,900
33,Краснодарский край,independent,1650
33,Краснодарский край,dealer,3850
34,Астраханская область,private,750
34,Астраханская область,independent,1400
34,Астраханская область,dealer,3300
35,Волгоградская область,private,750
35,Волгоградская область,independent,1400
35,Волгоградская область,dealer,3300
36,Ростовская область,private,800
36,Ростовская область,independent,1500
36,Ростовская область,dealer,3500
37,Севастополь,private,750
37,Севастополь,independent,1400
37,Севастополь,dealer,3300
38,Республика Дагестан,private,700
38,Республика Дагестан,independent,1350
38,Республика Дагестан,dealer,3150
39,Республика Ингушетия,private,650
39,Республика Ингушетия,independent,1200
39,Республика Ингушетия,dealer,2800
40,Кабардино-Балкарская Республика,private,650
40,Кабардино-Балкарская Республика,independent,1200
40,Кабардино-Балкарская Республика,dealer,2800
41,Карачаево-Черкесская Республика,private,600
41,Карачаево-Черкесская Республика,independent,1100
41,Карачаево-Черкесская Республика,dealer,2600
42,Республика Северная Осетия — Алания,private,700
42,Республика Северная Осетия — Алания,independent,1300
42,Республика Северная Осетия — Алания,dealer,3000
43,Чеченская Республика,private,700
43,Чеченская Республика,independent,1300
43,Чеченская Республика,dealer,3000
44,Ставропольский край,private,700
44,Ставропольский край,independent,1300
