make,model,engine_type,engine_volume_l,price_tier_min_rub
AITO,М9 Extended Range Ultra 6-ти местный,Гибрид,1.5,10000000
Aston Martin,DB11 Coupe V8,Бензин,4.0,10000000
Aston Martin,Rapide S Shadow Edition,Бензин,5.9,10000000
Aston Martin,Rapide S V12,Бензин,5.9,10000000
Aston Martin,Vantage,Бензин,4.0,10000000
Aston Martin,Vantage V8,Бензин,4.0,10000000
Audi,A6L 45TFSI quattro Premium Dynamic,Бензин,2.0,10000000
Audi,A7L 45TFSI Black Samurai,Бензин,2.0,10000000
Audi,A8 45 TFSI V6 183 kW tiptronic quattro,Бензин,3.0,10000000
Audi,A8 55 TFSI V6 250 kW tiptronic quattro,Бензин,3.0,10000000
Audi,A8 60 TFSI V8 338 kW tiptronic quattro,Бензин,4.0,10000000
Audi,A8 L 45 TDI V6 183 kW tiptronic quattro,Дизель,3.0,10000000
Audi,A8 L 55 TFSI V6 250 kW tiptronic quattro,Бензин,3.0,10000000
Audi,A8 L 60 TFSI V8 338 kW tiptronic quattro,Бензин,4.0,10000000
Audi,e-tron S 370 kW quattro,Электрический,,10000000
Audi,e-tron Sportback S 370 kW quattro,Электрический,,10000000
Audi,Q6 45 TFSI quattro Design,Бензин,2.0,10000000
Audi,Q6 50TFSI quattro Black Samurai,Бензин,2.5,10000000
Audi,Q7 3.0 TDI 286 hp quattro,Дизель,3.0,10000000
Audi,Q8 3.0 TDI (286 hp) quattro tiptronic 2024 MY,Дизель,3.0,10000000
Audi,Q8 3.0 TFSI (340 hp) quattro tiptronic 2024 MY,Бензин,3.0,10000000
Audi,Q8 50 TDI (286 hp) quattro tiptronic,Дизель,3.0,10000000
Audi,R8 quattro 5.2 TFSI V10 449 кВт S tronic,Бензин,5.2,10000000
Audi,RS4 Avant TFSI V6 331 kW tiptronic quattro,Бензин,2.9,10000000
Audi,RS5 Coupe TFSI V6 331 kW tiptronic quattro,Бензин,2.9,10000000
Audi,RS5 Sportback TFSI V6 331 kW tiptronic quattro,Бензин,2.9,10000000
Audi,RS6 Avant TFSI V8 441 kW tiptronic quattro,Бензин,4.0,10000000
Audi,RS7 Sportback TFSI V8 441 kW tiptronic quattro,Бензин,4.0,10000000
Audi,S6 Limousine TFSI V6 331 kW tiptronic quattro,Бензин,2.9,10000000
Audi,S7 Sportback TFSI V6 331 kW tiptronic quattro,Бензин,2.9,10000000
Audi,S8 TFSI quattro,Бензин,4.0,10000000
Audi,S8 TFSI V8 420 kW tiptronic quattro,Бензин,4.0,10000000
Bentley,Bentayga Diesel,Дизель,4.0,10000000
Bentley,Bentayga Onyx,Бензин,6.0,10000000
Bentley,Bentayga V8,Бензин,4.0,10000000
Bentley,Bentayga V8 Diesel,Дизель,4.0,10000000
Bentley,Continental GT,Бензин,6.0,10000000
Bentley,Continental GT,Бензин,6.0,10000000
Bentley,Continental GT Speed,Бензин,6.0,10000000
Bentley,Continental GT Speed Convertible,Бензин,6.0,10000000
Bentley,Continental GT V8,Бензин,4.0,10000000
Bentley,Continental GT V8 Convertible,Бензин,4.0,10000000
Bentley,Continental GT V8 S,Бензин,4.0,10000000
Bentley,Continental GT V8 S Convertible,Бензин,4.0,10000000
Bentley,Continental GTС V8,Бензин,4.0,10000000
Bentley,Flying Spur V8,Бензин,4.0,10000000
Bentley,Flying Spur V8 S,Бензин,4.0,10000000
Bentley,Flying Spur W12,Бензин,6.0,10000000
Bentley,Flying Spur W12 (new),Бензин,6.0,10000000
Bentley,New Continental GT Speed,Бензин,6.0,10000000
Bentley,New Continental GT V8S,Бензин,4.0,10000000
Bentley,New Continental GT W12,Бензин,6.0,10000000
Bentley,New Continental GTC Speed,Бензин,6.0,10000000
Bentley,New Continental GTC V8,Бензин,4.0,10000000
Bentley,New Continental GTC V8S,Бензин,4.0,10000000
Bentley,New Continental GTC W12,Бензин,6.0,10000000
BMW,530i xDrive,Бензин,2.0,10000000
BMW,730Ld xDrive,Дизель,3.0,10000000
BMW,740d xDrive,Дизель,3.0,10000000
BMW,740Ld xDrive,Дизель,3.0,10000000
BMW,740Li xDrive,Бензин,3.0,10000000
BMW,750Li xDrive,Бензин,4.4,10000000
BMW,840i xDrive,Бензин,3.0,10000000
BMW,i8,Гибрид,1.5,10000000
BMW,i8 Roadster,Гибрид,1.5,10000000
BMW,M760Li xDrive,Бензин,6.6,10000000
BMW,M8 Cabrio,Бензин,4.4,10000000
BMW,M8 Coupe,Бензин,4.4,10000000
BMW,M8 Gran Coupe,Бензин,4.4,10000000
BMW,M850i xDrive,Бензин,4.4,10000000
BMW,M850i xDrive Cabrio,Бензин,4.4,10000000
BMW,M850i xDrive Coupe,Бензин,4.4,10000000
BMW,X3 xDrive20d G45,Дизель,2.0,10000000
BMW,X3 xDrive20i G45,Бензин,2.0,10000000
BMW,X4 xDrive20d G02,Дизель,2.0,10000000
BMW,X5 M,Бензин,4.4,10000000
BMW,X5 M Competition,Бензин,4.4,10000000
BMW,X6 M,Бензин,4.4,10000000
BMW,X6 M50d,Дизель,3.0,10000000
BMW,X6 M50i,Бензин,4.4,10000000
BMW,X7 M50d,Дизель,3.0,10000000
BMW,X7 M50i,Бензин,4.4,10000000
BMW,М5,Бензин,4.4,10000000
BMW,М5 Competition,Бензин,4.4,10000000
BMW,М6 М Competition,Бензин,4.4,10000000
BMW,М850i xDrive Gran Coupe,Бензин,4.4,10000000
Cadillac,Escalade,Бензин,6.2,10000000
Cadillac,Escalade ESV,Бензин,6.2,10000000
Chevrolet,Tahoe RST,Бензин,5.3,10000000
Dodge,"Challenger SRT Hellcat III Рестайлинг 6.2 л, 717 л.с.",Бензин,6.2,10000000
Ford,"Mustang VII 5.0 л, 500 л.с",Бензин,5.0,10000000
Genesis,G90 Elite,Бензин,3.3,10000000
Genesis,G90 Elite,Бензин,3.8,10000000
Genesis,G90 Limousine,Бензин,5.0,10000000
Genesis,G90 Royal,Бензин,3.3,10000000
Genesis,G90 Royal,Бензин,5.0,10000000
Genesis,GV80 2.5 T-GDI 8AT 4WD,Бензин,2.5,10000000
Genesis,GV80 Coupe 2.5 T-GDI 8AT 4WD,Бензин,2.5,10000000
Genesis,GV80 Executive 2.5 T-GDI 8AT 4WD,Бензин,2.5,10000000
HiPhi,HiPhi Z 4WD 4-местный,Электрический,,10000000
Hongqi,E-HS9 Executive EU LR,Электрический,,10000000
Hongqi,H9 Executive,Бензин,3.0,10000000
Hyundai,Staria Lounge Inspiration 2.2CRDi 8AT HTRACK,Дизель,2.2,10000000
JAGUAR,F-TYPE R Convertible 5.0 V8 S/C 550 PS AWD,Бензин,5.0,10000000
JAGUAR,F-Type R Convertible 5.0 V8 S/C 575 PS AWD,Бензин,5.0,10000000
JAGUAR,F-Type R Coupe 5.0 V8 S/C 575 PS AWD,Бензин,5.0,10000000
JAGUAR,F-TYPE SVR 5.0 V8 S/C Coupe 575PS AWD AUTO (ST7),Бензин,5.0,10000000
JAGUAR,F-TYPE SVR Convertible 5.0 V8 S/C 575 PS AWD (VR1),Бензин,5.0,10000000
JAGUAR,F-TYPE SVR Coupe 5.0 V8 S/C 575 PS AWD (VR1),Бензин,5.0,10000000
JAGUAR,XJ 5.0 V8; 510PS S/C LWB Autobiography,Бензин,5.0,10000000
Jeep,Grand Cherokee,Бензин,6.2,10000000
Lamborghini,Urus,Бензин,4.0,10000000
Lamborghini,Urus S,Бензин,4.0,10000000
Lamborghini,Urus Perfomante,Бензин,4.0,10000000
Lamborghini,Urus SE,Бензин,4.0,10000000
Lamborghini,"Revuelto 6.5 л, 1015 л.с.",Гибрид,6.5,10000000
Lamborghini,Huracan,Бензин,5.2,10000000
Lamborghini,Huracan 4 WD,Бензин,5.2,10000000
Lamborghini,Huracan 4 WD Spyder,Бензин,5.2,10000000
Land Rover,Defender (L663) 5.0 V8 525 PS AWD Auto V8 LE6,Бензин,5.0,10000000
Land Rover,Defender 3Dr 5.0 V8 525 PS AWD Auto Carpathian Edition,Бензин,5.0,10000000
Land Rover,Defender 5Dr 5.0 V8 525 PS AWD Auto Carpathian Edition,Бензин,5.0,10000000
Land Rover,Range Rover 5.0L LWB V8 S/C SVAutobiography-TL7,Бензин,5.0,10000000
Land Rover,Range Rover 5.0L V8 S/C SVAutobiography Dynamic-TL7,Бензин,5.0,10000000
Land Rover,Range Rover 5.0L V8 S/C SVAutobiography-TL7,Бензин,5.0,10000000
Land Rover,Range Rover LWB 4.4L SDV8 SVAutobiography-TL7,Дизель,4.4,10000000
Land Rover,Range Rover 4.4L SDV8 Autobiography,Дизель,4.4,10000000
Land Rover,Range Rover 4.4L SDV8 Fifty,Дизель,4.4,10000000
Land Rover,Range Rover 4.4L SDV8 Fifty - LE7,Дизель,4.4,10000000
Land Rover,Range Rover 5.0L LWB V8 S/C Autobiography,Бензин,5.0,10000000
Land Rover,Range Rover 5.0L LWB V8 S/C Autobiography - TL6,Бензин,5.0,10000000
Land Rover,Range Rover 5.0L LWB V8 S/C Fifty,Бензин,5.0,10000000
Land Rover,Range Rover 5.0L LWB V8 S/C Fifty - LE7,Бензин,5.0,10000000
Land Rover,Range Rover 5.0L V8 S/C Autobiography,Бензин,5.0,10000000
Land Rover,Range Rover 5.0L V8 S/C Fifty,Бензин,5.0,10000000
Land Rover,Range Rover 5.0L V8 S/C Fifty - LE7,Бензин,5.0,10000000
Land Rover,Range Rover 5.0L V8 S/C SVA Dynamic Black,Бензин,5.0,10000000
Land Rover,Range Rover 5.0L V8 S/C SVA Dynamic Black - LE5,Бензин,5.0,10000000
Land Rover,Range Rover 5.0L V8 S/C SVAutobiography Dynamic,Бензин,5.0,10000000
Land Rover,Range Rover 5.0L V8 S/C Vogue SE,Бензин,5.0,10000000
Land Rover,Range Rover LWB 2.0L Si4 PHEV Autobiography,Гибрид,2.0,10000000
Land Rover,Range Rover LWB 2.0L Si4 PHEV Autobiography - TL6,Гибрид,2.0,10000000
Land Rover,Range Rover LWB 4.4L SDV8 Autobiography,Дизель,4.4,10000000
Land Rover,Range Rover LWB 4.4L SDV8 Autobiography - TL6,Дизель,4.4,10000000
Land Rover,Range Rover LWB 4.4L SDV8 Fifty,Дизель,4.4,10000000
Land Rover,Range Rover LWB 4.4L SDV8 Fifty - LE7,Дизель,4.4,10000000
Land Rover,Range Rover LWB 4.4L SDV8 SVAutobiography,Дизель,4.4,10000000
Land Rover,Range Rover Sport V8 S/C 5.0 SVR,Бензин,5.0,10000000
Land Rover,Range Rover Sport V8 S/C 5.0 SVR CARBON,Бензин,5.0,10000000
Lexus,LC500,Бензин,5.0,10000000
Lexus,LS350,Бензин,3.5,10000000
Lexus,LS500,Бензин,3.4,10000000
Lexus,LX500D,Дизель,3.3,10000000
Lexus,LX600,Бензин,3.4,10000000
LIXIANG,L9 4WD Max,Электрический,,10000000
LIXIANG,L9 4WD ULTRA,Гибридный,1.5,10000000
LIXIANG,L7 4WD ULTRA,Гибридный,1.5,10000000
Maserati,Ghibh Modena S,Бензин,3.0,10000000
Maserati,Ghibli Modena S Q4,Бензин,3.0,10000000
Maserati,Ghibli S,Бензин,3.0,10000000
Maserati,Ghibli Trofeo,Бензин,3.8,10000000
Maserati,Levante GTS,Бензин,3.8,10000000
Maserati,Levante MODENA,Бензин,3.0,10000000
Maserati,Levante MODENA S,Бензин,3.0,10000000
Maserati,Levante S,Бензин,3.0,10000000
Maserati,Levante S Granlusso,Бензин,3.0,10000000
Maserati,Levante S Gransport,Бензин,3.0,10000000
Maserati,Levante Tributo,Бензин,3.0,10000000
Maserati,Levante Trofeo,Бензин,3.8,10000000
Maserati,Quattroporte,Бензин,3.0,10000000
Maserati,Quattroporte GT,Бензин,3.0,10000000
Maserati,Quattroporte GTS,Бензин,3.8,10000000
Maserati,Quattroporte GTS Granlusso,Бензин,3.8,10000000
Maserati,Quattroporte GTS GranSport,Бензин,3.8,10000000
Maserati,Quattroporte Modena,Бензин,3.0,10000000
Maserati,Quattroporte Modena Q4,Бензин,3.0,10000000
Maserati,Quattroporte S Q4 GranSport,Дизель,3.0,10000000
Maserati,Quattroporte Trofeo,Бензин,3.8,10000000
McLaren,"570S 3.8 л, 570 л.с.",Бензин,3.8,10000000
Mercedes-Benz,E 220d 4MATIC,Дизель,1.9,10000000
Mercedes-Benz,E 200 4M Exclusive,Бензин,2.0,10000000
Mercedes-Benz,E 300 4MATIC,Бензин,2.0,10000000
Mercedes-Benz,G 350 d,Дизель,2.9,10000000
Mercedes-Benz,G 400 d,Дизель,2.9,10000000
Mercedes-Benz,G 400 d,Дизель,3.0,10000000
Mercedes-Benz,G 450 d,Дизель,3.0,10000000
Mercedes-Benz,G 500,Бензин,4.0,10000000
Mercedes-Benz,GLC 200 4MATIC Coupe,Бензин,2.0,10000000
Mercedes-Benz,GLC 300 4MATIC,Бензин,2.0,10000000
Mercedes-Benz,GLC 300 4 MATIC Coupe,Бензин,2.0,10000000
Mercedes-Benz,GLE 300 d 4MATIC Premium,Дизель,2.0,10000000
Mercedes-Benz,GLE 300 d 4MATIC Premium,Дизель,1.9,10000000
Mercedes-Benz,GLE 300 d 4MATIC Sport Plus,Дизель,1.9,10000000
Mercedes-Benz,GLE 350 d 4MATIC купе,Дизель,3.0,10000000
Mercedes-Benz,GLE 350 d 4MATIC купе,Дизель,2.9,10000000
Mercedes-Benz,GLE 350 de 4MATIC Coupe,Гибрид,1.9,10000000
Mercedes-Benz,GLE 400 d 4MATIC,Дизель,2.9,10000000
Mercedes-Benz,GLE 400 d 4MATIC купе,Дизель,2.9,10000000
Mercedes-Benz,GLE 450 4MATIC,Бензин,3.0,10000000
Mercedes-Benz,GLE 450 4MATIC купе,Бензин,3.0,10000000
Mercedes-Benz,GLE 53 AMG 4MATIC+ COUPE,Бензин,3.0,10000000
Mercedes-Benz,GLS 400 d 4MATIC,Дизель,2.9,10000000
Mercedes-Benz,GLS 450 4MATIC,Бензин,3.0,10000000
Mercedes-Benz,Mercedes-AMG CLS 53 4MATIC,Бензин,3.0,10000000
Mercedes-Benz,Mercedes-AMG E 53 4MATIC Кабриолет,Бензин,3.0,10000000
Mercedes-Benz,Mercedes-AMG E 53 4MATIC Купе,Бензин,3.0,10000000
Mercedes-Benz,Mercedes-AMG E 63 S 4MATIC +,Бензин,4.0,10000000
Mercedes-Benz,Mercedes-AMG E 63 S 4MATIC седан,Бензин,4.0,10000000
Mercedes-Benz,Mercedes-AMG G 63,Бензин,,10000000
Mercedes-Benz,Mercedes-AMG GLC 43 4MATICКупе,Бензин,3.0,10000000
Mercedes-Benz,Mercedes-AMG GLC 63 S 4MATIC,Бензин,4.0,10000000
Mercedes-Benz,Mercedes-AMG GLC 63 S 4MATIC купе,Бензин,4.0,10000000
Mercedes-Benz,Mercedes-AMG GLC 63 S 4MATIC+,Бензин,4.0,10000000
Mercedes-Benz,Mercedes-AMG GLE 53 4MATIC внедорожник,Бензин,3.0,10000000
Mercedes-Benz,Mercedes-AMG GLE 53 4MATIC купе,Бензин,3.0,10000000
Mercedes-Benz,Mercedes-AMG GLE 53 4MATIC+,Бензин,3.0,10000000
Mercedes-Benz,Mercedes-AMG GLE 63 S 4MATIC внедорожник,Бензин,4.0,10000000
