model_type,region_id,region_name,fuel_type,version,artifact_path,train_mape_pct,train_rmse,train_mae,train_coverage_95_pct,train_window_start,train_window_end,test_window_start,test_window_end,order_p,order_d,order_q,seasonal_p,seasonal_d,seasonal_q,seasonal_period,aic,bic,fallback,fit_seconds,fitted_at,status
fuel_sarima,1,Москва,ai92,v1.0.0,D:/все подряд/diplom(new_version)/ml/models/fuel_sarima/1_ai92.pkl,1.68,1.34,1.01,100.0,2014-01-01,2024-12-01,2025-01-01,2025-12-01,2,1,0,0,1,1,12,67.1,80.5,False,27.3,2026-04-28T22:41:51.005027+00:00,active
fuel_sarima,1,Москва,ai95,v1.0.0,D:/все подряд/diplom(new_version)/ml/models/fuel_sarima/1_ai95.pkl,1.31,1.2,0.87,100.0,2014-01-01,2024-12-01,2025-01-01,2025-12-01,0,1,1,0,1,1,12,84.9,95.5,False,25.6,2026-04-28T22:42:16.589946+00:00,active
fuel_sarima,1,Москва,diesel,v1.0.0,D:/все подряд/diplom(new_version)/ml/models/fuel_sarima/1_diesel.pkl,0.65,0.62,0.46,100.0,2014-01-01,2024-12-01,2025-01-01,2025-12-01,0,1,1,0,1,1,12,134.0,144.6,False,21.4,2026-04-28T22:42:38.067918+00:00,active
fuel_sarima,19,Санкт-Петербург,ai92,v1.0.0,D:/все подряд/diplom(new_version)/ml/models/fuel_sarima/19_ai92.pkl,1.71,1.4,1.03,100.0,2014-01-01,2024-12-01,2025-01-01,2025-12-01,0,1,1,0,1,1,12,66.5,77.1,False,26.9,2026-04-28T22:43:04.976625+00:00,active
fuel_sarima,19,Санкт-Петербург,ai95,v1.0.0,D:/все подряд/diplom(new_version)/ml/models/fuel_sarima/19_ai95.pkl,1.26,1.21,0.83,100.0,2014-01-01,2024-12-01,2025-01-01,2025-12-01,0,1,1,0,1,1,12,79.8,90.4,False,17.8,2026-04-28T22:43:22.774249+00:00,active
fuel_sarima,19,Санкт-Петербург,diesel,v1.0.0,D:/все подряд/diplom(new_version)/ml/models/fuel_sarima/19_diesel.pkl,0.61,0.54,0.44,100.0,2014-01-01,2024-12-01,2025-01-01,2025-12-01,0,1,2,0,1,1,12,151.7,164.9,False,11.5,2026-04-28T22:43:34.290602+00:00,active
fuel_sarima,2,Московская область,ai92,v1.0.0,D:/все подряд/diplom(new_version)/ml/models/fuel_sarima/2_ai92.pkl,1.9,1.5,1.13,100.0,2014-01-01,2024-12-01,2025-01-01,2025-12-01,0,1,1,0,1,1,12,157.0,167.6,False,10.7,2026-04-28T22:43:44.980493+00:00,active
fuel_sarima,2,Московская область,ai95,v1.0.0,D:/все подряд/diplom(new_version)/ml/models/fuel_sarima/2_ai95.pkl,1.31,1.23,0.86,100.0,2014-01-01,2024-12-01,2025-01-01,2025-12-01,0,1,1,0,1,1,12,148.4,159.1,False,9.2,2026-04-28T22:43:54.198335+00:00,active
fuel_sarima,2,Московская область,diesel,v1.0.0,D:/все подряд/diplom(new_version)/ml/models/fuel_sarima/2_diesel.pkl,0.56,0.52,0.4,100.0,2014-01-01,2024-12-01,2025-01-01,2025-12-01,0,1,2,0,1,1,12,209.2,222.5,False,7.6,2026-04-28T22:44:01.824995+00:00,active
fuel_sarima,33,Краснодарский край,ai92,v1.0.0,D:/все подряд/diplom(new_version)/ml/models/fuel_sarima/33_ai92.pkl,2.98,2.35,1.82,66.7,2014-01-01,2024-12-01,2025-01-01,2025-12-01,2,1,0,0,1,1,12,99.9,113.2,False,8.7,2026-04-28T22:44:10.585339+00:00,active
