vehicle_family,age_min_incl,age_max_incl,exp_min_years_incl,exp_max_years_excl,kvs_value
B_BE_other,18,21,0,1,2.27
B_BE_other,18,21,1,2,1.92
B_BE_other,18,21,2,3,1.84
B_BE_other,18,21,3,5,1.65
B_BE_other,18,21,5,7,1.62
B_BE_other,22,24,0,1,1.88
B_BE_other,22,24,1,2,1.72
B_BE_other,22,24,2,3,1.71
B_BE_other,22,24,3,5,1.13
B_BE_other,22,24,5,7,1.10
B_BE_other,22,24,7,10,1.09
B_BE_other,25,29,0,1,1.72
B_BE_other,25,29,1,2,1.60
B_BE_other,25,29,2,3,1.54
B_BE_other,25,29,3,5,1.09
B_BE_other,25,29,5,7,1.08
B_BE_other,25,29,7,10,1.07
B_BE_other,25,29,10,15,1.02
B_BE_other,30,34,0,1,1.56
B_BE_other,30,34,1,2,1.50
B_BE_other,30,34,2,3,1.48
B_BE_other,30,34,3,5,1.05
B_BE_other,30,34,5,7,1.04
B_BE_other,30,34,7,10,1.01
B_BE_other,30,34,10,15,0.97
B_BE_other,30,34,15,99,0.95
B_BE_other,35,39,0,1,1.54
B_BE_other,35,39,1,2,1.47
B_BE_other,35,39,2,3,1.46
B_BE_other,35,39,3,5,1.00
B_BE_other,35,39,5,7,0.97
B_BE_other,35,39,7,10,0.95
B_BE_other,35,39,10,15,0.94
B_BE_other,35,39,15,99,0.93
B_BE_other,40,49,0,1,1.50
B_BE_other,40,49,1,2,1.44
B_BE_other,40,49,2,3,1.43
B_BE_other,40,49,3,5,0.96
B_BE_other,40,49,5,7,0.95
B_BE_other,40,49,7,10,0.94
B_BE_other,40,49,10,15,0.93
B_BE_other,40,49,15,99,0.91
B_BE_other,50,59,0,1,1.46
B_BE_other,50,59,1,2,1.40
B_BE_other,50,59,2,3,1.39
B_BE_other,50,59,3,5,0.93
B_BE_other,50,59,5,7,0.92
B_BE_other,50,59,7,10,0.91
B_BE_other,50,59,10,15,0.90
B_BE_other,50,59,15,99,0.86
B_BE_other,60,999,0,1,1.43
B_BE_other,60,999,1,2,1.36
B_BE_other,60,999,2,3,1.35
B_BE_other,60,999,3,5,0.91
B_BE_other,60,999,5,7,0.90
B_BE_other,60,999,7,10,0.89
B_BE_other,60,999,10,15,0.88
B_BE_other,60,999,15,99,0.83
A_M_A1_B1,16,21,0,1,2.27
A_M_A1_B1,16,21,1,2,2.23
A_M_A1_B1,16,21,2,3,2.02
A_M_A1_B1,16,21,3,5,1.80
A_M_A1_B1,16,21,5,7,1.50
A_M_A1_B1,22,24,0,1,2.23
A_M_A1_B1,22,24,1,2,2.23
A_M_A1_B1,22,24,2,3,2.02
A_M_A1_B1,22,24,3,5,1.73
A_M_A1_B1,22,24,5,7,1.49
A_M_A1_B1,22,24,7,10,1.44
A_M_A1_B1,25,29,0,1,2.01
A_M_A1_B1,25,29,1,2,2.01
A_M_A1_B1,25,29,2,3,1.81
A_M_A1_B1,25,29,3,5,1.57
A_M_A1_B1,25,29,5,7,1.35
A_M_A1_B1,25,29,7,10,1.29
A_M_A1_B1,25,29,10,15,1.17
A_M_A1_B1,30,34,0,1,1.70
A_M_A1_B1,30,34,1,2,1.70
A_M_A1_B1,30,34,2,3,1.54
A_M_A1_B1,30,34,3,5,1.33
A_M_A1_B1,30,34,5,7,1.13
A_M_A1_B1,30,34,7,10,1.08
A_M_A1_B1,30,34,10,15,1.01
A_M_A1_B1,30,34,15,99,0.96
A_M_A1_B1,35,39,0,1,1.51
A_M_A1_B1,35,39,1,2,1.51
A_M_A1_B1,35,39,2,3,1.37
A_M_A1_B1,35,39,3,5,1.19
A_M_A1_B1,35,39,5,7,1.01
A_M_A1_B1,35,39,7,10,0.96
A_M_A1_B1,35,39,10,15,0.90
A_M_A1_B1,35,39,15,99,0.89
A_M_A1_B1,40,49,0,1,1.43
A_M_A1_B1,40,49,1,2,1.43
A_M_A1_B1,40,49,2,3,1.30
A_M_A1_B1,40,49,3,5,1.12
A_M_A1_B1,40,49,5,7,0.95
A_M_A1_B1,40,49,7,10,0.91
A_M_A1_B1,40,49,10,15,0.85
A_M_A1_B1,40,49,15,99,0.84
A_M_A1_B1,50,59,0,1,1.39
A_M_A1_B1,50,59,1,2,1.39
A_M_A1_B1,50,59,2,3,1.26
A_M_A1_B1,50,59,3,5,1.08
A_M_A1_B1,50,59,5,7,0.92
A_M_A1_B1,50,59,7,10,0.87
A_M_A1_B1,50,59,10,15,0.82
A_M_A1_B1,50,59,15,99,0.81
A_M_A1_B1,60,999,0,1,1.15
A_M_A1_B1,60,999,1,2,1.12
A_M_A1_B1,60,999,2,3,1.01
A_M_A1_B1,60,999,3,5,0.91
A_M_A1_B1,60,999,5,7,0.86
A_M_A1_B1,60,999,7,10,0.81
A_M_A1_B1,60,999,10,15,0.79
A_M_A1_B1,60,999,15,99,0.76
