category_id,category_label,vehicle_categories,owner_type,tb_min_rub,tb_max_rub
1,мотоциклы и мопеды,"A,M,A1,B1",any,155,4260
2.1,легковые юридических лиц,"B,BE",legal,724,6580
2.2,легковые физических лиц и ИП,"B,BE",physical,1399,8665
2.3,легковые такси,"B,BE",taxi,1267,18119
3.1,грузовые до 16 т включительно,"C,CE,C1,C1E",any,791,13709
3.2,грузовые более 16 т,"C,CE,C1,C1E",any,1489,17201
4.1,автобусы подкатегорий D1 / D1E,"D1,D1E",any,940,7846
4.2,автобусы (кроме D1),"D,DE",any,1175,9805
4.3,автобусы регулярных перевозок,"D,DE",regular,2295,11732
5,троллейбусы,Tb,any,1254,6411
6,трамваи,Tm,any,783,3999
7,трактора и самоходные машины,special,any,383,3678
