region_id,region_name,kt_capital_city,kt_general,kt_special,source_ref
1,Москва,Москва,1.80,1.16,строка 82
2,Московская область,—,1.56,1.00,строка 56
3,Белгородская область,Белгород,1.24,0.84,строка 37.1
4,Брянская область,Брянск,1.40,1.00,строка 38.1
5,Владимирская область,Владимир,1.38,1.00,строка 39.1
6,Воронежская область,Воронеж,1.35,1.07,строка 42.2
7,Ивановская область,Иваново,1.54,1.00,строка 44.1
8,Калужская область,Калуга,1.16,0.84,строка 47.1
9,Костромская область,Кострома,1.24,0.84,строка 50.1
10,Курская область,Курск,1.16,0.84,строка 52.2
11,Липецкая область,Липецк,1.40,1.00,строка 54.2
12,Орловская область,Орёл,1.16,0.84,строка 63.2
13,Рязанская область,Рязань,1.32,1.00,строка 67.1
14,Смоленская область,Смоленск,1.16,0.84,строка 72.2
15,Тамбовская область,Тамбов,1.16,0.84,строка 73.2
16,Тверская область,Тверь,1.40,1.00,строка 74.2
17,Тульская область,Тула,1.40,1.00,строка 76.2
18,Ярославская область,Ярославль,1.40,1.00,строка 81.1
19,Санкт-Петербург,Санкт-Петербург,1.64,1.00,строка 83
20,Ленинградская область,—,1.24,0.84,строка 53
21,Архангельская область,Архангельск,1.64,1.00,строка 35.1
22,Вологодская область,Вологда,1.46,1.00,строка 41.1
23,Калининградская область,Калининград,1.08,0.84,строка 46.1
24,Республика Карелия,Петрозаводск,1.24,0.84,строка 11.1
25,Республика Коми,Сыктывкар,1.38,1.00,строка 12.1
26,Мурманская область,Мурманск,1.78,1.06,строка 57.3
27,Ненецкий АО,—,0.84,0.60,строка 86
28,Новгородская область,Великий Новгород,1.24,0.84,строка 59.2
29,Псковская область,Псков,1.16,0.84,строка 65.2
30,Республика Адыгея,—,1.24,1.00,строка 1
31,Республика Калмыкия,Элиста,1.24,0.84,строка 9.1
32,Республика Крым,Симферополь,0.76,0.76,строка 13.1
33,Краснодарский край,Краснодар,1.56,1.00,строка 28.4
34,Астраханская область,Астрахань,1.32,1.00,строка 36.1
35,Волгоградская область,Волгоград,1.21,0.84,строка 40.1
36,Ростовская область,Ростов-на-Дону,1.56,1.00,строка 66.4
37,Севастополь,Севастополь,0.82,0.82,строка 84
38,Республика Дагестан,Махачкала,1.00,0.84,строка 5.1
39,Республика Ингушетия,Магас,1.64,1.52,строка 7.3
40,Кабардино-Балкарская Республика,Нальчик,1.00,0.84,строка 8.1
41,Карачаево-Черкесская Республика,—,1.00,0.88,строка 10
42,Республика Северная Осетия — Алания,Владикавказ,1.00,0.88,строка 18.1
43,Чеченская Республика,—,0.90,0.84,строка 23
44,Ставропольский край,Ставрополь,1.16,0.84,строка 32.2
45,Республика Башкортостан,Уфа,1.56,1.00,строка 3.4
46,Республика Марий Эл,Йошкар-Ола,1.32,0.84,строка 15.2
47,Республика Мордовия,Саранск,1.40,1.00,строка 16.2
48,Республика Татарстан,Казань,1.70,1.14,строка 19.4
49,Удмуртская Республика,Ижевск,1.48,1.00,строка 21.3
50,Чувашская Республика,Чебоксары,1.46,1.00,строка 24.3
51,Кировская область,Киров,1.32,1.00,строка 49.1
52,Нижегородская область,Нижний Новгород,1.56,1.00,строка 58.4
53,Оренбургская область,Оренбург,1.56,1.00,строка 62.2
54,Пензенская область,Пенза,1.32,1.00,строка 64.3
55,Пермский край,Пермь,1.60,1.04,строка 30.4
56,Самарская область,Самара,1.48,1.00,строка 68.2
57,Саратовская область,Саратов,1.42,1.00,строка 69.2
58,Ульяновская область,Ульяновск,1.40,1.08,строка 78.2
59,Курганская область,Курган,1.32,0.84,строка 51.1
60,Свердловская область,Екатеринбург,1.64,1.00,строка 71.4
61,Тюменская область,Тюмень,1.60,1.04,строка 77.2
62,Ханты-Мансийский АО — Югра,Ханты-Мансийск,1.30,1.00,строка 87.5
63,Челябинская область,Челябинск,1.77,1.21,строка 80.5
64,Ямало-Ненецкий АО,Салехард,1.08,0.84,строка 89.3
65,Республика Алтай,Горно-Алтайск,1.24,0.84,строка 2.1
66,Алтайский край,Барнаул,1.49,1.00,строка 25.1
67,Иркутская область,Иркутск,1.49,1.00,строка 45.3
68,Кемеровская область — Кузбасс,Кемерово,1.62,1.00,строка 48.3
69,Красноярский край,Красноярск,1.56,1.00,строка 29.4
70,Новосибирская область,Новосибирск,3.12,2.00,строка 60.4
71,Омская область,Омск,1.42,1.00,строка 61.1
72,Томская область,Томск,1.48,1.00,строка 75.2
73,Республика Тыва,Кызыл,0.90,0.84,строка 20.1
74,Республика Хакасия,Абакан,1.00,0.84,строка 22.1
75,Республика Бурятия,Улан-Удэ,1.24,0.84,строка 4.1
76,Республика Саха (Якутия),Якутск,1.16,0.76,строка 17.2
77,Забайкальский край,Чита,0.82,0.70,строка 26.2
78,Камчатский край,Петропавловск-Камчатский,1.24,1.00,строка 27.1
79,Приморский край,Владивосток,1.36,1.00,строка 31.2
80,Хабаровский край,Хабаровск,1.56,1.00,строка 33.3
81,Амурская область,Благовещенск,1.48,0.92,строка 34.2
82,Магаданская область,Магадан,0.90,0.77,строка 55.1
83,Сахалинская область,Южно-Сахалинск,1.40,1.00,строка 70.1
84,Еврейская АО,Биробиджан,0.90,0.84,строка 85.1
85,Чукотский АО,—,0.76,0.70,строка 88
