operation_id,operation_code,brand_segment,avg_parts_cost_rub
1,oil_change_engine,russian,1930
1,oil_change_engine,chinese,2450
1,oil_change_engine,korean,3150
1,oil_change_engine,japanese,3500
1,oil_change_engine,european_mass,4020
1,oil_change_engine,american,4900
1,oil_change_engine,european_premium,6650
2,oil_change_atf,russian,3300
2,oil_change_atf,chinese,4200
2,oil_change_atf,korean,5400
2,oil_change_atf,japanese,6000
2,oil_change_atf,european_mass,6900
2,oil_change_atf,american,8400
2,oil_change_atf,european_premium,11400
3,oil_change_mt,russian,990
3,oil_change_mt,chinese,1260
3,oil_change_mt,korean,1620
3,oil_change_mt,japanese,1800
3,oil_change_mt,european_mass,2070
3,oil_change_mt,american,2520
3,oil_change_mt,european_premium,3420
4,coolant_change,russian,1380
4,coolant_change,chinese,1750
4,coolant_change,korean,2250
4,coolant_change,japanese,2500
4,coolant_change,european_mass,2880
4,coolant_change,american,3500
4,coolant_change,european_premium,4750
5,brake_fluid_change,russian,440
5,brake_fluid_change,chinese,560
5,brake_fluid_change,korean,720
5,brake_fluid_change,japanese,800
5,brake_fluid_change,european_mass,920
5,brake_fluid_change,american,1120
5,brake_fluid_change,european_premium,1520
6,power_steering_fluid_change,russian,550
6,power_steering_fluid_change,chinese,700
6,power_steering_fluid_change,korean,900
6,power_steering_fluid_change,japanese,1000
6,power_steering_fluid_change,european_mass,1150
6,power_steering_fluid_change,american,1400
6,power_steering_fluid_change,european_premium,1900
7,rear_diff_oil_change,russian,1100
7,rear_diff_oil_change,chinese,1400
7,rear_diff_oil_change,korean,1800
7,rear_diff_oil_change,japanese,2000
7,rear_diff_oil_change,european_mass,2300
7,rear_diff_oil_change,american,2800
7,rear_diff_oil_change,european_premium,3800
8,washer_fluid_refill,russian,280
8,washer_fluid_refill,chinese,350
8,washer_fluid_refill,korean,450
8,washer_fluid_refill,japanese,500
8,washer_fluid_refill,european_mass,580
8,washer_fluid_refill,american,700
8,washer_fluid_refill,european_premium,950
9,oil_filter,russian,440
9,oil_filter,chinese,560
9,oil_filter,korean,720
9,oil_filter,japanese,800
9,oil_filter,european_mass,920
9,oil_filter,american,1120
9,oil_filter,european_premium,1520
10,air_filter,russian,550
10,air_filter,chinese,700
10,air_filter,korean,900
10,air_filter,japanese,1000
10,air_filter,european_mass,1150
10,air_filter,american,1400
10,air_filter,european_premium,1900
11,cabin_filter,russian,830
11,cabin_filter,chinese,1050
11,cabin_filter,korean,1350
11,cabin_filter,japanese,1500
11,cabin_filter,european_mass,1720
11,cabin_filter,american,2100
11,cabin_filter,european_premium,2850
12,fuel_filter,russian,1210
12,fuel_filter,chinese,1540
12,fuel_filter,korean,1980
12,fuel_filter,japanese,2200
12,fuel_filter,european_mass,2530
12,fuel_filter,american,3080
12,fuel_filter,european_premium,4180
13,brake_pads_front,russian,2200
13,brake_pads_front,chinese,2800
13,brake_pads_front,korean,3600
13,brake_pads_front,japanese,4000
13,brake_pads_front,european_mass,4600
13,brake_pads_front,american,5600
13,brake_pads_front,european_premium,7600
14,brake_pads_rear,russian,1930
14,brake_pads_rear,chinese,2450
14,brake_pads_rear,korean,3150
14,brake_pads_rear,japanese,3500
14,brake_pads_rear,european_mass,4020
14,brake_pads_rear,american,4900
14,brake_pads_rear,european_premium,6650
15,brake_discs_front,russian,4400
15,brake_discs_front,chinese,5600
15,brake_discs_front,korean,7200
15,brake_discs_front,japanese,8000
15,brake_discs_front,european_mass,9200
15,brake_discs_front,american,11200
15,brake_discs_front,european_premium,15200
16,brake_discs_rear,russian,3850
16,brake_discs_rear,chinese,4900
16,brake_discs_rear,korean,6300
16,brake_discs_rear,japanese,7000
16,brake_discs_rear,european_mass,8050
16,brake_discs_rear,american,9800
16,brake_discs_rear,european_premium,13300
17,brake_hoses,russian,1650
17,brake_hoses,chinese,2100
17,brake_hoses,korean,2700
17,brake_hoses,japanese,3000
17,brake_hoses,european_mass,3450
17,brake_hoses,american,4200
17,brake_hoses,european_premium,5700
18,timing_belt_kit,russian,8250
18,timing_belt_kit,chinese,10500
18,timing_belt_kit,korean,13500
18,timing_belt_kit,japanese,15000
18,timing_belt_kit,european_mass,17250
18,timing_belt_kit,american,21000
18,timing_belt_kit,european_premium,28500
19,accessory_belt,russian,1100
19,accessory_belt,chinese,1400
19,accessory_belt,korean,1800
19,accessory_belt,japanese,2000
19,accessory_belt,european_mass,2300
19,accessory_belt,american,2800
19,accessory_belt,european_premium,3800
20,timing_chain_inspection,russian,280
20,timing_chain_inspection,chinese,350
20,timing_chain_inspection,korean,450
20,timing_chain_inspection,japanese,500
20,timing_chain_inspection,european_mass,580
20,timing_chain_inspection,american,700
20,timing_chain_inspection,european_premium,950
21,spark_plugs,russian,1930
21,spark_plugs,chinese,2450
21,spark_plugs,korean,3150
21,spark_plugs,japanese,3500
21,spark_plugs,european_mass,4020
21,spark_plugs,american,4900
21,spark_plugs,european_premium,6650
22,glow_plugs,russian,2750
22,glow_plugs,chinese,3500
22,glow_plugs,korean,4500
22,glow_plugs,japanese,5000
22,glow_plugs,european_mass,5750
22,glow_plugs,american,7000
22,glow_plugs,european_premium,9500
23,battery_replacement,russian,5500
23,battery_replacement,chinese,7000
23,battery_replacement,korean,9000
23,battery_replacement,japanese,10000
23,battery_replacement,european_mass,11500
23,battery_replacement,american,14000
23,battery_replacement,european_premium,19000
24,headlight_bulbs,russian,1210
24,headlight_bulbs,chinese,1540
24,headlight_bulbs,korean,1980
24,headlight_bulbs,japanese,2200
24,headlight_bulbs,european_mass,2530
24,headlight_bulbs,american,3080
24,headlight_bulbs,european_premium,4180
25,wiper_blades_front,russian,1100
25,wiper_blades_front,chinese,1400
25,wiper_blades_front,korean,1800
25,wiper_blades_front,japanese,2000
25,wiper_blades_front,european_mass,2300
25,wiper_blades_front,american,2800
25,wiper_blades_front,european_premium,3800
26,wiper_blades_rear,russian,550
26,wiper_blades_rear,chinese,700
26,wiper_blades_rear,korean,900
26,wiper_blades_rear,japanese,1000
26,wiper_blades_rear,european_mass,1150
26,wiper_blades_rear,american,1400
26,wiper_blades_rear,european_premium,1900
27,anticorrosion_treatment,russian,2200
27,anticorrosion_treatment,chinese,2800
27,anticorrosion_treatment,korean,3600
27,anticorrosion_treatment,japanese,4000
27,anticorrosion_treatment,european_mass,4600
27,anticorrosion_treatment,american,5600
27,anticorrosion_treatment,european_premium,7600
28,diagnostics_full,russian,110
28,diagnostics_full,chinese,140
28,diagnostics_full,korean,180
28,diagnostics_full,japanese,200
28,diagnostics_full,european_mass,230
28,diagnostics_full,american,280
28,diagnostics_full,european_premium,380
29,wheel_alignment,russian,110
29,wheel_alignment,chinese,140
29,wheel_alignment,korean,180
29,wheel_alignment,japanese,200
29,wheel_alignment,european_mass,230
29,wheel_alignment,american,280
29,wheel_alignment,european_premium,380
30,wheel_balancing,russian,160
30,wheel_balancing,chinese,210
30,wheel_balancing,korean,270
30,wheel_balancing,japanese,300
30,wheel_balancing,european_mass,340
30,wheel_balancing,american,420
30,wheel_balancing,european_premium,570
31,tyre_swap_seasonal,russian,110
31,tyre_swap_seasonal,chinese,140
31,tyre_swap_seasonal,korean,180
31,tyre_swap_seasonal,japanese,200
31,tyre_swap_seasonal,european_mass,230
31,tyre_swap_seasonal,american,280
31,tyre_swap_seasonal,european_premium,380
32,ac_service,russian,1100
32,ac_service,chinese,1400
32,ac_service,korean,1800
32,ac_service,japanese,2000
32,ac_service,european_mass,2300
32,ac_service,american,2800
32,ac_service,european_premium,3800
