id,name,iso_code,federal_district,climate_zone,population_thousands
1,Москва,RU-MOW,Центральный,central,13259
2,Московская область,RU-MOS,Центральный,central,8650
3,Белгородская область,RU-BEL,Центральный,central,1540
4,Брянская область,RU-BRY,Центральный,central,1169
5,Владимирская область,RU-VLA,Центральный,central,1323
6,Воронежская область,RU-VOR,Центральный,central,2287
7,Ивановская область,RU-IVA,Центральный,central,977
8,Калужская область,RU-KLU,Центральный,central,1001
9,Костромская область,RU-KOS,Центральный,central,567
10,Курская область,RU-KRS,Центральный,central,1077
11,Липецкая область,RU-LIP,Центральный,central,1122
12,Орловская область,RU-ORL,Центральный,central,712
13,Рязанская область,RU-RYA,Центральный,central,1080
14,Смоленская область,RU-SMO,Центральный,central,902
15,Тамбовская область,RU-TAM,Центральный,central,977
16,Тверская область,RU-TVE,Центральный,central,1232
17,Тульская область,RU-TUL,Центральный,central,1429
18,Ярославская область,RU-YAR,Центральный,central,1204
19,Санкт-Петербург,RU-SPE,Северо-Западный,central,5602
20,Ленинградская область,RU-LEN,Северо-Западный,central,2018
21,Архангельская область,RU-ARK,Северо-Западный,north,1010
22,Вологодская область,RU-VLG,Северо-Западный,central,1133
23,Калининградская область,RU-KGD,Северо-Западный,central,1030
24,Республика Карелия,RU-KR,Северо-Западный,central,525
25,Республика Коми,RU-KO,Северо-Западный,north,723
26,Мурманская область,RU-MUR,Северо-Западный,north,663
27,Ненецкий АО,RU-NEN,Северо-Западный,north,41
28,Новгородская область,RU-NGR,Северо-Западный,central,583
29,Псковская область,RU-PSK,Северо-Западный,central,587
30,Республика Адыгея,RU-AD,Южный,south,496
31,Республика Калмыкия,RU-KL,Южный,south,267
32,Республика Крым,RU-CR,Южный,south,1932
33,Краснодарский край,RU-KDA,Южный,south,5775
34,Астраханская область,RU-AST,Южный,south,953
35,Волгоградская область,RU-VGG,Южный,south,2445
36,Ростовская область,RU-ROS,Южный,south,4153
37,Севастополь,RU-SEV,Южный,south,561
38,Республика Дагестан,RU-DA,Северо-Кавказский,south,3205
39,Республика Ингушетия,RU-IN,Северо-Кавказский,south,510
40,Кабардино-Балкарская Республика,RU-KB,Северо-Кавказский,south,904
41,Карачаево-Черкесская Республика,RU-KC,Северо-Кавказский,south,469
42,Республика Северная Осетия — Алания,RU-SE,Северо-Кавказский,south,687
43,Чеченская Республика,RU-CE,Северо-Кавказский,south,1513
44,Ставропольский край,RU-STA,Северо-Кавказский,south,2886
45,Республика Башкортостан,RU-BA,Приволжский,central,4046
46,Республика Марий Эл,RU-ME,Приволжский,central,668
47,Республика Мордовия,RU-MO,Приволжский,central,779
48,Республика Татарстан,RU-TA,Приволжский,central,3900
49,Удмуртская Республика,RU-UD,Приволжский,central,1485
50,Чувашская Республика,RU-CU,Приволжский,central,1198
51,Кировская область,RU-KIR,Приволжский,central,1234
52,Нижегородская область,RU-NIZ,Приволжский,central,3071
53,Оренбургская область,RU-ORE,Приволжский,central,1900
54,Пензенская область,RU-PNZ,Приволжский,central,1274
55,Пермский край,RU-PER,Приволжский,central,2550
56,Самарская область,RU-SAM,Приволжский,central,3135
57,Саратовская область,RU-SAR,Приволжский,central,2360
58,Ульяновская область,RU-ULY,Приволжский,central,1192
59,Курганская область,RU-KGN,Уральский,central,793
60,Свердловская область,RU-SVE,Уральский,central,4268
61,Тюменская область,RU-TYU,Уральский,central,1586
62,Ханты-Мансийский АО — Югра,RU-KHM,Уральский,north,1711
63,Челябинская область,RU-CHE,Уральский,central,3409
64,Ямало-Ненецкий АО,RU-YAN,Уральский,north,511
65,Республика Алтай,RU-AL,Сибирский,central,211
66,Алтайский край,RU-ALT,Сибирский,central,2133
67,Иркутская область,RU-IRK,Сибирский,central,2337
68,Кемеровская область — Кузбасс,RU-KEM,Сибирский,central,2555
69,Красноярский край,RU-KYA,Сибирский,central,2853
70,Новосибирская область,RU-NVS,Сибирский,central,2785
71,Омская область,RU-OMS,Сибирский,central,1822
72,Томская область,RU-TOM,Сибирский,central,1063
73,Республика Тыва,RU-TY,Сибирский,central,333
74,Республика Хакасия,RU-KK,Сибирский,central,528
75,Республика Бурятия,RU-BU,Дальневосточный,central,974
76,Республика Саха (Якутия),RU-SA,Дальневосточный,north,994
77,Забайкальский край,RU-ZAB,Дальневосточный,central,992
78,Камчатский край,RU-KAM,Дальневосточный,north,287
79,Приморский край,RU-PRI,Дальневосточный,central,1834
80,Хабаровский край,RU-KHA,Дальневосточный,central,1276
81,Амурская область,RU-AMU,Дальневосточный,central,754
82,Магаданская область,RU-MAG,Дальневосточный,north,132
83,Сахалинская область,RU-SAK,Дальневосточный,north,466
84,Еврейская АО,RU-YEV,Дальневосточный,central,147
85,Чукотский АО,RU-CHU,Дальневосточный,north,47
