generation_id,operation_id,every_km,every_months,source
1,1,15000,12,template_economy
1,4,80000,60,template_economy
1,5,60000,24,template_economy
1,9,15000,12,template_economy
1,10,30000,24,template_economy
1,11,15000,12,template_economy
1,12,60000,48,template_economy
1,13,40000,,template_economy
1,14,60000,,template_economy
1,15,80000,,template_economy
1,18,90000,72,template_economy
1,19,60000,60,template_economy
1,21,30000,36,template_economy
1,23,,48,template_economy
1,25,,12,template_economy
1,26,,12,template_economy
1,28,15000,12,template_economy
1,30,20000,,template_economy
1,31,,6,template_economy
1,32,,24,template_economy
2,1,15000,12,template_economy
2,4,80000,60,template_economy
2,5,60000,24,template_economy
2,9,15000,12,template_economy
2,10,30000,24,template_economy
2,11,15000,12,template_economy
2,12,60000,48,template_economy
2,13,40000,,template_economy
2,14,60000,,template_economy
2,15,80000,,template_economy
2,18,90000,72,template_economy
2,19,60000,60,template_economy
2,21,30000,36,template_economy
2,23,,48,template_economy
2,25,,12,template_economy
2,26,,12,template_economy
2,28,15000,12,template_economy
2,30,20000,,template_economy
2,31,,6,template_economy
2,32,,24,template_economy
3,1,10000,12,template_suv
3,2,60000,48,template_suv
3,3,60000,60,template_suv
3,4,60000,36,template_suv
3,5,40000,24,template_suv
3,7,40000,36,template_suv
3,9,10000,12,template_suv
3,10,15000,24,template_suv
3,11,15000,12,template_suv
3,12,40000,48,template_suv
3,13,40000,,template_suv
3,14,60000,,template_suv
3,15,80000,,template_suv
3,18,90000,72,template_suv
3,19,60000,60,template_suv
3,21,30000,36,template_suv
3,23,,36,template_suv
3,25,,12,template_suv
3,26,,12,template_suv
3,28,10000,12,template_suv
3,29,20000,,template_suv
3,30,15000,,template_suv
3,31,,6,template_suv
3,32,,24,template_suv
4,1,15000,12,template_crossover
4,2,60000,48,template_crossover
4,4,80000,48,template_crossover
4,5,60000,24,template_crossover
4,7,60000,60,template_crossover
4,9,15000,12,template_crossover
4,10,30000,24,template_crossover
4,11,15000,12,template_crossover
4,12,60000,48,template_crossover
4,13,50000,,template_crossover
4,14,70000,,template_crossover
4,15,100000,,template_crossover
4,18,100000,72,template_crossover
4,19,80000,60,template_crossover
4,21,60000,60,template_crossover
4,23,,48,template_crossover
4,25,,12,template_crossover
4,26,,12,template_crossover
4,28,15000,12,template_crossover
4,29,30000,,template_crossover
4,30,20000,,template_crossover
4,31,,6,template_crossover
4,32,,24,template_crossover
5,1,15000,12,template_crossover
5,2,60000,48,template_crossover
5,4,80000,48,template_crossover
5,5,60000,24,template_crossover
5,7,60000,60,template_crossover
5,9,15000,12,template_crossover
5,10,30000,24,template_crossover
5,11,15000,12,template_crossover
5,12,60000,48,template_crossover
5,13,50000,,template_crossover
5,14,70000,,template_crossover
5,15,100000,,template_crossover
5,18,100000,72,template_crossover
5,19,80000,60,template_crossover
5,21,60000,60,template_crossover
5,23,,48,template_crossover
5,25,,12,template_crossover
5,26,,12,template_crossover
5,28,15000,12,template_crossover
5,29,30000,,template_crossover
5,30,20000,,template_crossover
5,31,,6,template_crossover
5,32,,24,template_crossover
6,1,15000,12,template_economy
6,4,80000,60,template_economy
6,5,60000,24,template_economy
6,9,15000,12,template_economy
6,10,30000,24,template_economy
6,11,15000,12,template_economy
6,12,60000,48,template_economy
6,13,40000,,template_economy
6,14,60000,,template_economy
6,15,80000,,template_economy
6,18,90000,72,template_economy
6,19,60000,60,template_economy
6,21,30000,36,template_economy
6,23,,48,template_economy
6,25,,12,template_economy
6,26,,12,template_economy
6,28,15000,12,template_economy
6,30,20000,,template_economy
6,31,,6,template_economy
6,32,,24,template_economy
7,1,15000,12,template_crossover
7,2,60000,48,template_crossover
7,4,80000,48,template_crossover
7,5,60000,24,template_crossover
7,7,60000,60,template_crossover
7,9,15000,12,template_crossover
7,10,30000,24,template_crossover
7,11,15000,12,template_crossover
7,12,60000,48,template_crossover
7,13,50000,,template_crossover
7,14,70000,,template_crossover
7,15,100000,,template_crossover
7,18,100000,72,template_crossover
7,19,80000,60,template_crossover
7,21,60000,60,template_crossover
7,23,,48,template_crossover
7,25,,12,template_crossover
7,26,,12,template_crossover
7,28,15000,12,template_crossover
7,29,30000,,template_crossover
7,30,20000,,template_crossover
