modification_id,axle,size_code,is_default
1,both,185/65 R15,true
2,both,195/55 R16,true
3,both,195/55 R16,true
4,both,195/55 R16,true
5,both,195/55 R16,true
6,both,245/70 R16,true
7,both,215/65 R16,true
8,both,215/65 R16,true
9,both,215/65 R16,true
10,both,195/55 R16,true
11,both,195/55 R16,true
12,both,225/60 R17,true
13,both,225/60 R17,true
14,both,205/55 R16,true
15,both,205/55 R16,true
16,both,195/55 R16,true
17,both,195/55 R16,true
18,both,195/55 R16,true
19,both,195/55 R16,true
20,both,265/60 R18,true
21,both,265/60 R18,true
22,both,245/70 R16,true
23,both,245/65 R17,true
24,both,245/65 R17,true
25,both,265/60 R18,true
26,both,285/55 R20,true
27,both,245/65 R17,true
28,both,245/65 R17,true
29,both,245/65 R17,true
30,both,245/65 R17,true
31,both,245/65 R17,true
32,both,245/65 R17,true
33,both,245/65 R17,true
34,both,245/65 R17,true
35,both,225/60 R17,true
36,both,225/60 R17,true
37,both,225/50 R17,true
38,both,225/60 R17,true
39,front,255/45 R20,true
39,rear,285/40 R20,true
40,front,265/50 R21,true
40,rear,295/45 R21,true
41,both,245/65 R17,true
42,both,245/65 R17,true
43,both,245/65 R17,true
44,both,245/65 R17,true
45,both,225/50 R17,true
46,both,225/50 R17,true
47,both,185/65 R15,true
48,both,195/55 R16,true
49,both,195/55 R16,true
50,both,195/55 R16,true
51,both,225/60 R17,true
52,both,225/60 R17,true
53,both,215/65 R16,true
54,both,225/60 R17,true
55,both,215/65 R16,true
56,both,225/60 R17,true
57,both,215/65 R16,true
58,both,225/60 R17,true
59,both,205/55 R16,true
60,both,205/55 R16,true
61,both,205/55 R16,true
62,both,205/55 R16,true
63,both,195/55 R16,true
64,both,195/55 R16,true
65,both,205/55 R16,true
66,both,205/55 R16,true
67,both,225/50 R17,true
68,both,225/50 R17,true
69,both,225/50 R17,true
70,both,225/50 R17,true
71,both,225/60 R17,true
72,both,225/60 R17,true
73,both,225/60 R17,true
74,both,225/60 R17,true
75,both,225/60 R17,true
76,both,225/60 R17,true
77,both,225/60 R17,true
78,both,225/60 R17,true
79,both,195/55 R16,true
80,both,195/55 R16,true
81,both,205/55 R16,true
82,both,205/55 R16,true
83,both,225/60 R17,true
84,both,225/60 R17,true
85,both,195/55 R16,true
86,both,195/55 R16,true
87,both,235/55 R18,true
88,both,235/55 R18,true
89,both,195/55 R16,true
90,both,195/55 R16,true
91,both,205/55 R16,true
92,both,225/45 R17,true
93,both,225/50 R17,true
94,both,225/50 R17,true
95,both,225/60 R17,true
96,both,225/60 R17,true
97,both,225/60 R17,true
98,both,225/60 R17,true
99,both,225/60 R17,true
