region_id,hp_min,hp_max,rate_rub_per_hp
0,1,100.0,2.5
0,101,150.0,3.5
0,151,200.0,5.0
0,201,250.0,7.5
0,251,,15.0
1,1,100.0,13.0
1,101,150.0,31.5
1,151,200.0,50.0
1,201,250.0,73.5
1,251,,150.0
2,1,100.0,10.0
2,101,150.0,34.0
2,151,200.0,49.0
2,201,250.0,75.0
2,251,,150.0
19,1,100.0,24.0
19,101,150.0,35.0
19,151,200.0,50.0
19,201,250.0,75.0
19,251,,150.0
20,1,100.0,18.0
20,101,150.0,35.0
20,151,200.0,50.0
20,201,250.0,75.0
20,251,,150.0
48,1,100.0,10.0
48,101,150.0,35.0
48,151,200.0,50.0
48,201,250.0,75.0
48,251,,150.0
33,1,100.0,12.0
33,101,150.0,25.0
33,151,200.0,50.0
33,201,250.0,75.0
33,251,,150.0
60,1,100.0,10.0
60,101,150.0,14.0
60,151,200.0,34.0
60,201,250.0,51.6
60,251,,103.2
36,1,100.0,12.0
36,101,150.0,15.0
36,151,200.0,45.0
36,201,250.0,75.0
36,251,,150.0
45,1,100.0,10.0
45,101,150.0,35.0
45,151,200.0,50.0
45,201,250.0,75.0
45,251,,150.0
63,1,100.0,5.16
63,101,150.0,13.4
63,151,200.0,50.0
63,201,250.0,75.0
63,251,,150.0
